Time (s),dln[ethane(1)]/dln[k1]: CH3(3)+CH3(3)=ethane(1),dln[ethane(1)]/dln[k2]: CH3(3)+ethane(1)=C2H5(4)+methane(2),dln[ethane(1)]/dln[k3]: H(5)+C2H5(4)=ethane(1),dln[ethane(1)]/dln[k4]: CH3(3)+H(5)=methane(2),dln[ethane(1)]/dln[k5]: H(5)+C2H4(9)=C2H5(4),dln[ethane(1)]/dln[k6]: CH3(3)+C2H5(4)=C2H4(9)+methane(2),dln[ethane(1)]/dln[k7]: C2H5(4)+C2H5(4)=C2H4(9)+ethane(1),dln[ethane(1)]/dln[k8]: H(5)+ethane(1)=C2H5(4)+H2(8),dln[ethane(1)]/dln[k9]: H(5)+methane(2)=CH3(3)+H2(8),dln[ethane(1)]/dln[k10]: H(5)+C2H5(4)=H2(8)+C2H4(9),dln[ethane(1)]/dln[k12]: H(5)+C2H3(14)=C2H4(9),dln[ethane(1)]/dln[k13]: C2H3(14)+methane(2)=CH3(3)+C2H4(9),dln[ethane(1)]/dln[k15]: H(5)+C2H4(9)=H2(8)+C2H3(14),dln[ethane(1)]/dln[k16]: C2H5(4)+C2H3(14)=C2H4(9)+C2H4(9),dln[ethane(1)]/dln[k17]: H(5)+C2H2(20)=C2H3(14),dln[ethane(1)]/dln[k18]: CH3(3)+C2H3(14)=C2H2(20)+methane(2),dln[ethane(1)]/dln[k19]: C2H5(4)+C2H3(14)=C2H2(20)+ethane(1),dln[ethane(1)]/dln[k21]: H(5)+C2H3(14)=H2(8)+C2H2(20),dln[ethane(1)]/dln[k34]: C4H7(40)+C2H5(4)=C4H6(26)+ethane(1)
1.25E-4,-0.1230254,-0.1534725,0.1102716,0.137976,-0.07480146,0.012133,0.01973747,-0.3886883,-0.02711475,0.01185311,0.002124654,-0.01275967,-0.002604512,0.0,-0.001806138,0.0,0.0,0.0,0.0
1.3E-4,-0.1258406,-0.1548246,0.1128266,0.1402148,-0.07513882,0.01245517,0.0204024,-0.3984838,-0.02829816,0.01212241,0.00224253,-0.0133161,-0.002745802,0.0,-0.001873526,0.0,0.0,0.0,0.0
1.35E-4,-0.1285957,-0.1560715,0.1153056,0.142361,-0.07543528,0.012769,0.02105603,-0.4080382,-0.02946612,0.01238341,0.002361036,-0.01386568,-0.002886847,0.0,-0.001939715,0.0,0.0,0.0,0.0
1.4E-4,-0.1312939,-0.1572214,0.1177128,0.144421,-0.07569471,0.01307487,0.02169867,-0.417364,-0.03061852,0.01263659,0.002480103,-0.01440833,-0.003027535,0.0,-0.00200473,0.0,0.0,0.0,0.0
1.45E-4,-0.1339379,-0.1582821,0.1200522,0.1464008,-0.07592056,0.01337314,0.0223306,-0.4264726,-0.03175527,0.01288237,0.002599673,-0.01494403,-0.003167765,0.0,-0.002068597,0.0,0.0,0.0,0.0
1.5E-4,-0.1365306,-0.1592604,0.1223273,0.1483054,-0.0761159,0.01366411,0.02295212,-0.4353748,-0.03287635,0.01312116,0.002719689,-0.01547276,-0.003307448,0.0,-0.002131344,0.0,0.0,0.001002994,0.0
1.55E-4,-0.1390742,-0.1601624,0.1245416,0.1501398,-0.07628346,0.0139481,0.0235635,-0.4440802,-0.0339818,0.01335332,0.002840101,-0.01599453,-0.003446505,0.0,-0.002192997,0.0,0.0,0.001047386,0.0
1.6E-4,-0.1415712,-0.1609938,0.1266981,0.1519082,-0.07642569,0.01422539,0.02416499,-0.4525982,-0.03507165,0.01357918,0.002960863,-0.01650936,-0.003584867,0.0,-0.002253582,0.0,0.0,0.001091908,0.0
1.65E-4,-0.1440235,-0.1617597,0.1287996,0.1536146,-0.07654477,0.01449624,0.02475686,-0.460937,-0.03614602,0.01379906,0.003081932,-0.01701728,-0.003722472,0.0,-0.002313123,0.0,0.0,0.001136543,0.0
1.7E-4,-0.1464332,-0.1624646,0.1308488,0.1552626,-0.07664268,0.01476091,0.02533934,-0.4691046,-0.037205,0.01401324,0.00320327,-0.01751835,-0.003859267,0.0,-0.002371648,0.0,0.0,0.001181279,0.0
