
allene	       47.11       59.34       13.97       17.02       19.63       21.79       25.18       27.73       31.82  0.0  0.0  0.0 

propyne	       46.16       58.99       14.37       17.14       19.55       21.60       24.93       27.49       31.65  0.0  0.0  0.0 

cC3H4	       69.38       58.01       12.51       16.02       19.01       21.43       25.07       27.72       31.84  0.0  0.0  0.0 

npropyl	       25.21       69.28       17.39       21.53       25.29       28.54       33.78       37.81       44.29  0.0  0.0  0.0 

ipropyl	       26.01       68.90       16.37       20.25       24.07       27.48       33.07       37.34       44.11  0.0  0.0  0.0 

ethynol	       23.15       59.10       13.44       15.17       16.46       17.47       19.01       20.21       22.29  0.0  0.0  0.0 

ketene	      -10.78       57.63       12.31       14.11       15.57       16.77       18.67       20.12       22.44  0.0  0.0  0.0 

oxirene	       65.92       60.48       13.18       15.06       16.52       17.67       19.38       20.64       22.68  0.0  0.0  0.0 

CHCHOjj	       39.29       62.75       13.11       15.21       16.88       18.18       19.98       21.14       22.73  0.0  0.0  0.0 

allyl	       42.04       61.54       14.89       18.72       21.97       24.63       28.72       31.76       36.60  0.0  0.0  0.0 

cC3H5	       71.09       61.58       13.61       17.85       21.43       24.32       28.65       31.79       36.69  0.0  0.0  0.0 

propen1yl	       61.96       65.41       15.14       18.18       21.04       23.56       27.66       30.78       35.73  0.0  0.0  0.0 

propen2yl	       65.51       64.88       15.28       18.48       21.36       23.85       27.84       30.89       35.74  0.0  0.0  0.0 

C2H3OOH	       -7.90       73.04       18.38       21.58       24.39       26.69       30.10       32.51       36.24  0.0  0.0  0.0 

acetic_acid	     -103.20       68.19       15.60       19.25       22.52       25.35       29.79       33.00       37.45  0.0  0.0  0.0 

methyl_formate	      -85.78       69.00       15.45       18.67       21.95       24.91       29.59       32.89       37.38  0.0  0.0  0.0 

HOOCH2CH2CH2OO	      -26.53       97.98       34.87       40.13       44.71       48.53       54.44       58.75       65.38  0.0  0.0  0.0 

CH3CHOOCH2OOH	      -29.64       95.85       36.16       41.94       46.34       49.78       55.07       59.08       65.50  0.0  0.0  0.0 

CH3CHOOHCH2OO	      -29.54       95.57       36.52       42.43       47.25       51.04       56.52       60.37       66.33  0.0  0.0  0.0 

HOOCH2CHCH2OOH	      -14.25       95.31       38.23       48.37       54.36       57.48       60.49       62.48       66.33  0.0  0.0  0.0 

CH2CHOOHCH2OOH	      -14.47      102.10       35.63       41.46       46.23       50.00       55.51       59.40       65.34  0.0  0.0  0.0 

OHCH2CH2OO	      -26.30       88.33       27.20       31.13       34.49       37.42       42.17       45.73       51.19  0.0  0.0  0.0 

CH3CHOOHCHO	      -63.38       85.49       28.66       33.76       38.09       41.61       46.84       50.50       56.01  0.0  0.0  0.0 

oxiranylmethylperoxy	       -2.62       83.96       23.63       28.60       33.06       36.76       42.29       46.16       51.90  0.0  0.0  0.0 

HOOCH2CH2OOH	      -20.27       89.70       29.55       33.82       37.04       39.59       43.54       46.51       51.21  0.0  0.0  0.0 

CH3CHOOCHO	      -27.48       85.46       25.58       30.38       34.46       37.76       42.68       46.16       51.40  0.0  0.0  0.0 

CH3COCH2OO	      -30.79       86.93       25.24       29.96       34.00       37.30       42.29       45.86       51.26  0.0  0.0  0.0 

ketenylperoxy	       20.50       75.79       18.67       20.75       22.36       23.61       25.41       26.65       28.44  0.0  0.0  0.0 

HCCO	       37.64       58.80       11.97       13.09       13.94       14.64       15.74       16.57       17.91  0.0  0.0  0.0 

cCO3	      -38.79       60.99       11.64       13.42       14.74       15.72       17.04       17.84       18.84  0.0  0.0  0.0 

propene	        6.24       63.59       15.33       19.03       22.50       25.54       30.44       34.19       40.14  0.0  0.0  0.0 

cC3H6	       14.26       59.42       13.36       18.13       22.35       25.82       31.11       34.96       41.00  0.0  0.0  0.0 

C3H6JJ	       72.55       70.43       17.44       20.95       24.16       26.95       31.47       34.95       40.47  0.0  0.0  0.0 

acrolein	      -14.20       65.35       16.87       20.41       23.49       26.10       30.14       33.04       37.30  0.0  0.0  0.0 

CH3CHCO	      -13.82       68.58       16.45       19.54       22.36       24.81       28.75       31.71       36.31  0.0  0.0  0.0 

cC3H4O	       13.88       62.93       14.06       18.44       22.19       25.21       29.64       32.73       37.35  0.0  0.0  0.0 

C3H4OJJ	       47.18       69.68       18.77       22.18       25.08       27.48       31.17       33.88       37.99  0.0  0.0  0.0 

O2	        0.68       46.74        7.00        7.15        7.37        7.59        7.97        8.24        8.58  0.0  0.0  0.0 

H	       52.10       27.36        4.96        4.96        4.96        4.96        4.96        4.96        4.96  0.0  0.0  0.0 

C	      171.29       35.54        4.96        4.96        4.96        4.96        4.96        4.96        4.96  0.0  0.0  0.0 

O	       59.64       36.40        4.96        4.96        4.96        4.96        4.96        4.96        4.96  0.0  0.0  0.0 

CO	      -26.44       47.14        6.95        6.99        7.09        7.24        7.57        7.87        8.34  0.0  0.0  0.0 

CO2	      -94.36       50.99        8.87        9.84       10.63       11.26       12.23       12.90       13.82  0.0  0.0  0.0 

OH	        8.69       42.53        6.95        6.95        6.95        6.97        7.07        7.23        7.72  0.0  0.0  0.0 

HO2	        3.07       54.61        8.28        8.82        9.38        9.88       10.66       11.26       12.25  0.0  0.0  0.0 

H2O	      -58.46       45.02        7.99        8.15        8.37        8.63        9.17        9.73       11.01  0.0  0.0  0.0 

acetylperoxy	      -36.67       76.21       19.91       23.07       25.85       28.15       31.56       33.90       37.28  0.0  0.0  0.0 

hydroperoxyl_acetyl	      -17.20       79.32       22.35       25.83       28.49       30.44       33.07       34.81       37.39  0.0  0.0  0.0 

hydroperoxyl_vinoxy	      -34.67       73.73       21.04       25.44       28.98       31.67       35.20       37.28       39.60  0.0  0.0  0.0 

vinoxyperoxy	      -18.09       77.55       19.79       23.22       26.10       28.39       31.70       33.97       37.29  0.0  0.0  0.0 

allyloxy	       25.06       72.63       18.45       22.37       25.85       28.76       33.26       36.56       41.63  0.0  0.0  0.0 

propen1oxy	       -4.44       71.94       17.66       21.30       24.73       27.71       32.46       35.99       41.38  0.0  0.0  0.0 

CH2CH2CHO	        7.36       75.41       19.41       22.49       25.45       28.06       32.31       35.53       40.59  0.0  0.0  0.0 

oxiranylmethyl	       26.63       68.55       17.89       22.39       26.16       29.17       33.61       36.79       41.68  0.0  0.0  0.0 

CH2OCHCH2	       22.80       72.91       19.07       23.06       26.47       29.24       33.39       36.38       41.02  0.0  0.0  0.0 

CH3CHCHO	       -4.96       71.27       18.06       21.58       24.93       27.85       32.53       36.02       41.39  0.0  0.0  0.0 

CH3CH2CO	       -6.18       74.68       17.76       20.93       24.04       26.82       31.36       34.80       40.18  0.0  0.0  0.0 

propen2oxy	       -6.15       72.93       17.86       21.85       25.33       28.26       32.82       36.17       41.25  0.0  0.0  0.0 

oxetanyl1	       25.09       66.24       15.35       20.12       24.34       27.80       32.98       36.65       42.16  0.0  0.0  0.0 

oxetanyl2	       31.23       66.78       16.19       20.78       24.88       28.26       33.35       36.97       42.38  0.0  0.0  0.0 

acetone	      -51.21       70.90       17.53       21.65       25.52       28.90       34.34       38.41       44.77  0.0  0.0  0.0 

propen1ol	      -34.70       70.85       20.67       24.56       28.02       30.98       35.68       39.25       45.02  0.0  0.0  0.0 

propen2ol	      -39.44       69.60       20.59       25.30       29.06       32.04       36.55       39.89       45.32  0.0  0.0  0.0 

cC3H6O	      -21.56       67.16       17.38       22.08       26.33       29.92       35.48       39.56       45.86  0.0  0.0  0.0 

propanal	      -43.67       73.50       18.92       22.42       25.99       29.23       34.57       38.63       44.94  0.0  0.0  0.0 

propen3ol	      -28.93       72.64       21.54       25.01       28.20       31.01       35.60       39.14       44.92  0.0  0.0  0.0 

oxetane	      -18.29       65.61       15.21       20.43       25.24       29.29       35.49       39.92       46.60  0.0  0.0  0.0 

npropanol	      -60.69       76.31       20.87       25.94       30.62       34.65       41.04       45.85       53.48  0.0  0.0  0.0 

ipropanol	      -64.83       74.20       21.77       26.89       31.47       35.35       41.49       46.13       53.57  0.0  0.0  0.0 

CH3CH2OCH3	      -51.54       73.52       22.57       26.95       31.12       34.90       41.20       46.07       53.78  0.0  0.0  0.0 

allylperoxy	       24.09       80.56       21.15       25.43       29.20       32.34       37.16       40.67       46.07  0.0  0.0  0.0 

propen1peroxy	       21.11       76.70       22.45       26.76       30.50       33.58       38.24       41.57       46.62  0.0  0.0  0.0 

propen2peroxy	       17.91       76.20       23.08       27.64       31.33       34.26       38.62       41.76       46.64  0.0  0.0  0.0 

CH3CHOCHO	      -26.53       78.17       22.13       26.41       30.17       33.30       38.07       41.49       46.64  0.0  0.0  0.0 

OCHCH2CH2O	      -25.04       82.32       20.72       24.95       28.85       32.17       37.30       40.99       46.47  0.0  0.0  0.0 

CH3COCH2O	      -30.70       78.33       21.08       25.77       29.92       33.34       38.35       41.79       46.82  0.0  0.0  0.0 

oxiranylmethoxy	       -2.16       75.51       19.76       24.69       29.06       32.66       38.02       41.77       47.31  0.0  0.0  0.0 

npropylperoxy	       -8.38       83.49       23.02       28.24       32.94       36.92       43.11       47.67       54.73  0.0  0.0  0.0 

QOOH_1	        7.26       88.49       25.27       30.39       34.78       38.41       43.99       48.10       54.53  0.0  0.0  0.0 

QOOH_2	        5.10       88.21       24.29       29.11       33.52       37.27       43.13       47.45       54.15  0.0  0.0  0.0 

QOOH_3	        4.50       85.49       26.48       31.26       35.42       38.88       44.22       48.17       54.42  0.0  0.0  0.0 

ipropylperoxy	      -12.99       80.87       24.25       29.24       33.67       37.42       43.34       47.77       54.72  0.0  0.0  0.0 

OCH2OOH	      -21.33       72.64       19.06       21.82       23.76       25.27       27.54       29.21       31.87  0.0  0.0  0.0 

CH4	      -17.53       44.41        8.49        9.60       10.97       12.36       14.87       16.97       20.51  0.0  0.0  0.0 

CH2(S)	      102.52       45.14        8.06        8.31        8.63        8.99        9.77       10.50       11.83  0.0  0.0  0.0 

CH2(T)	       93.85       46.59        8.30        8.66        8.98        9.28        9.87       10.47       11.69  0.0  0.0  0.0 

OCCO(S)	       18.31       90.63       13.66       14.78       15.66       16.41       17.57       18.39       19.53  0.0  0.0  0.0 

OCCO	        5.60       61.18       14.21       15.20       15.98       16.65       17.72       18.49       19.58  0.0  0.0  0.0 

CH2CHCCH2	       86.31       99.28       18.52       22.60       26.13       29.08       33.64       37.01       42.26  0.0  0.0  0.0 

CH3CHCCH	       79.11       71.83       18.91       22.66       25.87       28.57       32.85       36.09       41.23  0.0  0.0  0.0 

CH3CHCHCH2	       34.78       71.99       19.86       24.81       29.29       33.10       39.10       43.57       50.60  0.0  0.0  0.0 

CH2CCH3CH2	       35.20       70.24       19.59       24.94       29.51       33.32       39.22       43.62       50.57  0.0  0.0  0.0 

CH2CCCH2	       79.70       65.15       17.51       21.01       23.92       26.33       30.10       32.93       37.37  0.0  0.0  0.0 

CH2CHCCH	       71.86       66.24       17.18       20.88       23.88       26.32       30.06       32.83       37.25  0.0  0.0  0.0 

CH2CCCH	      121.56       70.27       18.68       21.24       23.29       24.97       27.64       29.68       32.95  0.0  0.0  0.0 

HCCCHCH	      132.99       67.35       17.24       20.41       22.80       24.66       27.47       29.56       32.87  0.0  0.0  0.0 

CH3CHCCH2	       40.97       69.71       18.95       23.20       27.03       30.32       35.57       39.54       45.78  0.0  0.0  0.0 

CH2CHCHCH2	       28.95       65.82       18.48       23.96       28.66       32.35       37.56       41.12       46.59  0.0  0.0  0.0 

butyne1	       42.02       69.18       19.47       23.90       27.69       30.86       35.89       39.71       45.81  0.0  0.0  0.0 

tbutyl	       14.30       76.21       21.71       26.64       31.62       36.12       43.55       49.22       58.13  0.0  0.0  0.0 

ibutyl	       19.15       76.39       23.23       28.98       34.04       38.33       45.13       50.31       58.58  0.0  0.0  0.0 

butyl_1	       20.65       78.53       23.01       28.55       33.60       37.94       44.89       50.17       58.56  0.0  0.0  0.0 

butyl_2	       18.01       78.98       21.99       27.30       32.36       36.82       44.06       49.58       58.28  0.0  0.0  0.0 

butene_1	        1.88       73.18       20.82       26.08       30.86       34.96       41.53       46.49       54.36  0.0  0.0  0.0 

// cis_butene_2	        0.37       73.28       20.32       25.28       30.03       34.22       41.02       46.17       54.25  0.0  0.0  0.0 

trans_butene_2	       -0.84       70.68       21.14       25.96       30.54       34.59       41.20       46.25       54.24  0.0  0.0  0.0 

isobutene	       -2.22       70.16       21.12       26.15       30.77       34.80       41.35       46.34       54.27  0.0  0.0  0.0 

