S2XC8H17 CC[CH]CCCCC
PXC9H19 [CH2]CCCCCCCC
H2CC [C]=C
Ar [Ar]
C6H5CHO O=CC1C=CC=CC=1
CH2CO C=C=O
S2XC12H25 CC[CH]CCCCCCCCC
C6H5CO O=[C]C1C=CC=CC=1
AR	[Ar]
HE	[He]
OH*	[OH]
CH*	[CH]
SAXC4H7	C=C[CH]C	! Confirmed by Anonymous
CH3cC6H11	CC1CCCCC1	! Confirmed by Anonymous
PXCH2cC6H11	[CH2]C1CCCCC1	! Confirmed by Anonymous
cC6H12	C1CCCCC1	! Confirmed by Anonymous
PXCH2cC5H9	[CH2]C1CCCC1	! Confirmed by Anonymous
cC6H10O2H-2	OOC1[CH]CCCC1	! Confirmed by Anonymous
cC6H11O2	[O]OC1CCCCC1	! Confirmed by Anonymous
C7H12-16	C=CCCCC=C	! Confirmed by Anonymous
C7H14-2	CC=CCCCC	! Confirmed by Anonymous
C8H16-3	CCC=CCCCC	! Confirmed by Anonymous
SOOcC6O2H	[O]OC1CCCCC1OO	! Confirmed by Anonymous
CH3-4-SAXC6H10	[CH2]C=CC(C)CC	! Confirmed by Anonymous
PXCH2-5-1C6H11	[CH2]C(C)CCC=C	! Confirmed by Anonymous
PXCH2-5-1C7H13	[CH2]C(CC)CCC=C	! Confirmed by Anonymous
PXCH2-5-1C8H15	[CH2]C(CCC)CCC=C	! Confirmed by Anonymous
PXCH2-5-1C9H17	[CH2]C(CCC=C)CCCC	! Confirmed by Anonymous
C3H5cC6H11	C=CCC1CCCCC1	! Confirmed by Anonymous
PX6-2C6H11	[CH2]CCC=CC	! Confirmed by Anonymous
PXCH2-4-1C5H9	[CH2]C(C)CC=C	! Confirmed by Anonymous
PX1-4C8H15	[CH2]CCC=CCCC	! Confirmed by Anonymous
PXCH2-3-1C5H9	[CH2]C(C=C)CC	! Confirmed by Anonymous
PXCH2-3-1C4H7	[CH2]C(C)C=C	! Confirmed by Anonymous
CH3-2-C4H5-13	C=CC(=C)C	! Confirmed by Anonymous
C2H3cC6H11	C=CC1CCCCC1	! Confirmed by Anonymous
C7H12-13	C=CC=CCCC	! Confirmed by Anonymous
C3H7S2XcC6H10	CCCC1[CH]CCCC1	! Confirmed by Anonymous
C4H9S2XcC6H10	CCCCC1[CH]CCCC1	! Confirmed by Anonymous
PX1-3C7H13	[CH2]CC=CCCC	! Confirmed by Anonymous
PXC2H4-4-1C6H11	[CH2]CC(CC)CC=C	! Confirmed by Anonymous
SAX6-4C10H19	CCCC=C[CH]CCCC	! Confirmed by Anonymous
SAX4-2C8H15	CC=C[CH]CCCC	! Confirmed by Anonymous
PX8-2C8H15	[CH2]CCCCC=CC	! Confirmed by Anonymous
CH3S3XcC5H8	CC1C[CH]CC1	! Confirmed by Anonymous
C4H9S4XcC6H10	CCCCC1CC[CH]CC1	! Confirmed by Anonymous
C2H5cC6H11	CCC1CCCCC1	! Confirmed by Anonymous
CH3-5-SAX1C7H12	[CH2]C=CCC(C)CC	! Confirmed by Anonymous
C3H7S4XcC6H10	CCCC1CC[CH]CC1	! Confirmed by Anonymous
C2H5-4-SAX1C6H10	[CH2]C=CC(CC)CC	! Confirmed by Anonymous
C4H9cC6H11	CCCCC1CCCCC1	! Confirmed by Anonymous
C3H7cC6H11	CCCC1CCCCC1	! Confirmed by Anonymous
CH3-5-SAXC6H10	[CH2]C=CCC(C)C	! Confirmed by Anonymous
C9H18-4	CCCC=CCCCC	! Confirmed by Anonymous
C6H10-15	C=CCCC=C	! Confirmed by Anonymous
C10H20-5	CCCCC=CCCCC	! Confirmed by Anonymous
PAXCH2-2-C4H5	[CH2]C(=C)C=C	! Confirmed by Anonymous
S2XC8H15	C=CCCC[CH]CC	! Confirmed by Anonymous
S3XC9H17	C=CCCC[CH]CCC	! Confirmed by Anonymous
S4XC10H19	C=CCCC[CH]CCCC	! Confirmed by Anonymous
C2H5-2-1C6H11	C=C(CC)CCCC	! Confirmed by Anonymous
C4H9-2-1C6H11	C=C(CCCC)CCCC	! Confirmed by Anonymous
PXC3H6-3-1C7H13	[CH2]CCC(C=C)CCCC	! Confirmed by Anonymous
C3H7-2-1C6H11	C=C(CCC)CCCC	! Confirmed by Anonymous
C2H5S3XcC6H10	CCC1C[CH]CCC1	! Confirmed by Anonymous
C2H5S4XcC6H10	CCC1CC[CH]CC1	! Confirmed by Anonymous
S2XC4H8cC6H11	CC[CH]CC1CCCCC1	! Confirmed by Anonymous
C4H9S3XcC6H10	CCCCC1C[CH]CCC1	! Confirmed by Anonymous
CH3S4XcC6H10	CC1CC[CH]CC1	! Confirmed by Anonymous
SXC2H4cC6H11	C[CH]C1CCCCC1	! Confirmed by Anonymous
C3H7S3XcC6H10	CCCC1C[CH]CCC1	! Confirmed by Anonymous
PXC3H6cC6H11	[CH2]CCC1CCCCC1	! Confirmed by Anonymous
SXC3H6cC6H11	C[CH]CC1CCCCC1	! Confirmed by Anonymous
SXC4H8cC6H11	C[CH]CCC1CCCCC1	! Confirmed by Anonymous
S3XC4H8cC6H11	CCC[CH]C1CCCCC1	! Confirmed by Anonymous
PXC4H8cC6H11	[CH2]CCCC1CCCCC1	! Confirmed by Anonymous
PX10-4C10H19	[CH2]CCCCC=CCCC	! Confirmed by Anonymous
PXC2H4cC6H11	[CH2]CC1CCCCC1	! Confirmed by Anonymous
CH3-5-SAX1C9H16	[CH2]C=CCC(C)CCCC	! Confirmed by Anonymous
CH3-5-SAX1C8H14	[CH2]C=CCC(C)CCC	! Confirmed by Anonymous
C4H9TXcC6H10	CCCC[C]1CCCCC1	! Confirmed by Anonymous
C2H5S2XcC6H10	CCC1[CH]CCCC1	! Confirmed by Anonymous
S2XC3H6cC6H11	CC[CH]C1CCCCC1	! Confirmed by Anonymous
C3H7TXcC6H10	CCC[C]1CCCCC1	! Confirmed by Anonymous
PX9-3C9H17	[CH2]CCCCC=CCC	! Confirmed by Anonymous
SAXC6H9-15	C=C[CH]CC=C	! Confirmed by Anonymous
CH2cC6H10	C=C1CCCCC1	! Confirmed by Anonymous
